juvenile;mother;treatment;mother_treatment_duration;hutch_date;incubation_time;svl;tail_length;head_height;head_width;head_length;body_mass;speed_age;max_sprint_speed;sprint_quality_race1;sprint_quality_race2;mass_in_climb;max_climb_speed;climb_quality_race1;climb_quality_race2;dispersal_age;dispersal_score;dispersal_setup;observations
6-fm28;fm28;Control;25;01-sep;35;26,13;39,77;3,02;4,34;6,63;0,489;4;;2;2;0,775;0,521147155;4;4;28;0;4;
7-fm13;fm13;provitamin;25;27-ago;38;26,73;43,83;3,28;4,2;7,18;0,567;17;0,255634065;3;2;0,45;0,274817836;2;4;33;0;5;
7-fm14;fm14;provitamin;25;30-ago;36;25,73;41,21;3,04;4,25;6,8;0,468;14;0,833910581;3;4;;;;;;;;
7-fm20;fm20;Control;19;16-ago;36;27,71;43,66;3,59;4,29;7,47;0,504;22;;2;2;;;;;;;;
7-fm23;fm23;Control;25;28-ago;38;26,66;39,93;2,89;4,6;7,02;0,461;16;;2;2;0,519;0,314973641;4;2;32;4;7;
7-fm28;fm28;Control;25;01-sep;35;25,87;40,1;3,32;4,49;7,2;0,521;6;1,131719049;3;3;0,542;0,388122156;4;4;28;4;1;
8-fm13;fm13;provitamin;25;26-ago;37;25,89;41,38;3,23;4,33;6,96;0,467;18;0,562002777;3;3;;;;;;;;
8-fm14;fm14;provitamin;25;02-sep;39;24,28;36,07;3,03;4,15;6,65;0,421;11;0,849800839;3;3;0,522;0,407318613;4;4;27;6;5;
8-fm20;fm20;Control;19;15-ago;35;28,51;41,65;3,33;4,76;7,37;0,47;22;0,449675842;0;3;;;;;;;;
8-fm23;fm23;Control;25;25-ago;35;27,4;41,57;3,49;4,79;7,85;0,439;14;0,611409922;2;3;0,545;0,358493247;4;4;;;4;
